cam,features,mol_subtype
-0.05227215,Median_plasm_Location_MaxIntensity_X_Hematoxylin,luminal
-0.041255888,Median_plasm_Location_MaxIntensity_Y_Hematoxylin,luminal
-0.0065591554,Median_plasm_Parent_nuclei,luminal
-0.02628881,StDev_nuclei_AreaShape_Zernike_6_0,luminal
-0.011697079,StDev_nuclei_AreaShape_Zernike_6_6,luminal
-0.0036734715,StDev_nuclei_AreaShape_Zernike_7_5,luminal
-0.029506398,StDev_nuclei_AreaShape_Zernike_7_7,luminal
-0.045236386,StDev_nuclei_AreaShape_Zernike_8_0,luminal
-0.061372105,StDev_nuclei_AreaShape_Zernike_8_2,luminal
-0.06501204,StDev_nuclei_AreaShape_Zernike_8_4,luminal
-0.06865178,StDev_nuclei_AreaShape_Zernike_8_6,luminal
-0.072291724,StDev_nuclei_AreaShape_Zernike_8_8,luminal
-0.07075744,StDev_nuclei_AreaShape_Zernike_9_1,luminal
-0.0053725014,StDev_nuclei_AreaShape_Zernike_9_3,luminal
-0.0323454,StDev_nuclei_Intensity_MaxIntensity_Hematoxylin,luminal
-0.069984935,StDev_nuclei_Intensity_MeanIntensityEdge_Hematoxylin,luminal
-0.1076224,StDev_nuclei_Intensity_MeanIntensity_Hematoxylin,luminal
-0.14526193,StDev_nuclei_Intensity_MedianIntensity_Hematoxylin,luminal
-0.12996858,StDev_nuclei_Intensity_MinIntensityEdge_Hematoxylin,luminal
-0.10456726,StDev_nuclei_Intensity_MinIntensity_Hematoxylin,luminal
-0.13991843,StDev_nuclei_Intensity_StdIntensityEdge_Hematoxylin,luminal
-0.16640976,StDev_nuclei_Intensity_StdIntensity_Hematoxylin,luminal
-0.1906408,StDev_nuclei_Intensity_UpperQuartileIntensity_Hematoxylin,luminal
-0.19808954,StDev_nuclei_Location_CenterMassIntensity_X_Hematoxylin,luminal
-0.20012414,StDev_nuclei_Location_CenterMassIntensity_Y_Hematoxylin,luminal
-0.17970231,StDev_nuclei_Location_Center_X,luminal
-0.16265717,StDev_nuclei_Location_Center_Y,luminal
-0.1512151,StDev_nuclei_Location_MaxIntensity_X_Hematoxylin,luminal
-0.15276584,StDev_nuclei_Location_MaxIntensity_Y_Hematoxylin,luminal
-0.14545709,StDev_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4,luminal
-0.13357684,StDev_nuclei_RadialDistribution_FracAtD_Hematoxylin_2of4,luminal
-0.12062063,StDev_nuclei_RadialDistribution_FracAtD_Hematoxylin_3of4,luminal
-0.09953107,StDev_nuclei_RadialDistribution_FracAtD_Hematoxylin_4of4,luminal
-0.07219815,StDev_nuclei_RadialDistribution_MeanFrac_Hematoxylin_1of4,luminal
-0.05589278,StDev_nuclei_RadialDistribution_MeanFrac_Hematoxylin_2of4,luminal
-0.049858373,StDev_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4,luminal
-0.02830687,StDev_nuclei_RadialDistribution_MeanFrac_Hematoxylin_4of4,luminal
-0.00675769,StDev_nuclei_RadialDistribution_RadialCV_Hematoxylin_1of4,luminal
-0.017625269,StDev_nuclei_Texture_Variance_Hematoxylin_3_03_256,luminal
-0.024049483,StDev_plasm_AreaShape_Area,luminal
-0.023937734,StDev_plasm_AreaShape_BoundingBoxArea,luminal
-0.0067418907,StDev_plasm_AreaShape_BoundingBoxMaximum_X,luminal
-0.014653231,StDev_plasm_AreaShape_BoundingBoxMinimum_Y,luminal
-0.00444338,StDev_plasm_AreaShape_Center_X,luminal
-0.011626912,StDev_plasm_AreaShape_Zernike_7_5,luminal
-0.034062847,StDev_plasm_AreaShape_Zernike_7_7,luminal
-0.024242936,StDev_plasm_AreaShape_Zernike_8_0,luminal
-0.0150063345,StDev_plasm_AreaShape_Zernike_8_2,luminal
